"Number","User","Date Submitted","Country","Source URL","Device","Browser","OS","Hotjar User ID","What is stopping you from making a booking?","Tags for: What is stopping you from making a booking?"
"276","7cde41c2","2023-10-04 18:10:30","United Kingdom","https://be.synxis.com/?_ga=2.73803157.604259470.1689553902-1133786393.1683616899&_gl=1*a7tvry*_ga*MTEzMzc4NjM5My4xNjgzNjE2ODk5*_ga_KHJQN8MFLN*MTY4OTgzOTExMi4xMzQuMS4xNjg5ODM5OTg3LjAuMC4w*_ga_9M0H4JQ8VZ*MTY4OTgzOTk4Ny43MS4wLjE2ODk4Mzk5ODcuMC4wLjA.&adult=2&arrive=2024-09-11&chain=21615&child=0&currency=SGD&depart=2024-09-20&hotel=76623&level=chain&locale=en-US&rooms=1&utm_campaign=Members%20only%20sale%20-%20members-518149&utm_medium=email&utm_source=revinate","desktop","Chrome 117.0.0","Windows 10","7cde41c2-5d40-5a0e-a378-e2a15958ad05","just checking the price",""
"275","b4ba4600","2023-10-04 16:11:05","Singapore","https://be.synxis.com/?adult=1&arrive=2023-10-05&chain=21615&child=0&children=0&config=Member&currency=SGD&depart=2023-10-06&hotel=76623&level=hotel&locale=en-US&rooms=1&token=30303132317e6b3449366c6c4164332f5676714e6751587041786757337570552f64315a714a7165345a597057693365436d58544171377267516742595a7a4945616c62594d4f61396d694b62442f78647a76704e612b5744705a502f2f2b69627144686e3262546d2f4a416c7971426e54427043785034504a4b716769786a544830544259486e5a3945735673486442324f7341697845766752695058776e764b7555774b55704e7a3577454f57514a707834504e6d3378586a506475366c447a68734d79","desktop","Chrome 109.0.0","Windows 10","b4ba4600-8fa0-5c1b-8fd5-b2d5709217cc","i am unable to reset my password",""
"274","92370f2d","2023-09-30 12:53:59","American Samoa","https://be.synxis.com/?_ga=2.107483079.454036556.1696077549-1319295294.1696077549&adult=3,3&arrive=2024-02-02&chain=21615&child=0,0&childages=,&currency=AUD&depart=2024-02-05&hotel=76623&level=chain&locale=en-US&rooms=2","desktop","Safari 16.5","Mac OS X 10.15.7","92370f2d-77e5-58b0-b859-f3cce503cd6a","I'm trying to book for the 2 BR apartment",""
"273","82826383","2023-09-29 05:58:31","Australia","https://be.synxis.com/?_ga=2.241834241.263369065.1695966966-199325714.1695966966&adult=2&arrive=2024-02-13&chain=21615&child=2&childages=|&currency=SGD&depart=2024-02-23&hotel=76623&level=chain&locale=en-US&rooms=1","desktop","Chrome 117.0.0","Windows 10","82826383-d622-52fd-9340-65b2642d57dd","No availability, trying to book a room for 2 adults and 2 kids (4/6 years old) for 13/02/24 to 23/02/24.",""
"272","1dae77e8","2023-09-27 23:27:33","United States","https://be.synxis.com/?_ga=2.233213790.138286694.1695521287-1302973228.1695332382&adult=1&arrive=2023-12-08&chain=21615&child=0&currency=SGD&depart=2023-12-10&hotel=76623&level=chain&locale=en-US&rooms=1","desktop","Chrome 116.0.0","Windows 10","1dae77e8-eddd-5361-b04f-168ce4479bf7","HI , what is the difference between weekend staycation with free breakfast and weekend staycation with free breakfast members only",""
"271","8673981c","2023-09-25 10:58:02","Malaysia","https://be.synxis.com/?_ga=2.124876424.361300657.1695639357-976256379.1695193215&adult=2&arrive=2024-05-06&chain=21615&child=0&currency=SGD&depart=2024-05-09&hotel=76623&level=chain&locale=en-US&rooms=1","desktop","Chrome 117.0.0","Windows 10","8673981c-92b4-5609-8785-ca5bfe4d6397","No pets rate",""
"270","0785f0c5","2023-09-25 08:42:07","Singapore","https://be.synxis.com/?_ga=2.268697590.607362801.1695627663-178353944.1695627663&adult=1&arrive=2023-09-28&chain=21615&child=0&currency=SGD&depart=2023-09-29&hotel=76623&level=chain&locale=en-US&rooms=1","desktop","Chrome 116.0.0","Windows 10","0785f0c5-f557-550c-91eb-0bb9ed198505","price",""
"269","58c8c5d2","2023-09-21 07:33:51","Ukraine","https://be.synxis.com/?_ga=2.126795341.1156414191.1695281457-324481134.1695281457&adult=1&arrive=2023-10-05&chain=21615&child=0&currency=SGD&depart=2023-10-07&hotel=76623&level=chain&locale=en-US&rooms=1","desktop","Chrome 116.0.0","Windows 10","58c8c5d2-5cc5-57e4-89ea-4386fd3e45f6","there is a special rate and special booking conditions for event participants 48th ASEAN Air Transport Working Group ans Related Meetings?",""
"268","d43f0345","2023-09-18 01:34:12","Singapore","https://be.synxis.com/?_ga=2.41943468.860074593.1695000006-1027987935.1695000006&_gl=1*131dc0*_ga*MTAyNzk4NzkzNS4xNjk1MDAwMDA2*_ga_R038GNDBDS*MTY5NTAwMDAwNi4xLjEuMTY5NTAwMDI5MS4wLjAuMA..*_ga_KHJQN8MFLN*MTY5NTAwMDAwNi4xLjEuMTY5NTAwMDI5MS4wLjAuMA..&adult=1&arrive=2023-10-09&chain=21615&child=0&currency=SGD&depart=2023-10-12&hotel=76623&level=chain&locale=en-US&rooms=1","desktop","Edge 116.0.1938","Windows 10","d43f0345-72d6-53c9-83c3-14c73d39dbd5","do you offer corporate rate?",""
"267","0d906ee6","2023-09-14 11:56:36","United Kingdom","https://be.synxis.com/?_ga=2.236176065.1581489888.1694692472-853282581.1694692472&adult=1&arrive=2023-10-12&chain=21615&child=0&currency=SGD&depart=2023-10-13&hotel=76623&level=chain&locale=en-US&rooms=1","desktop","Chrome 116.0.0","Windows 10","0d906ee6-b01d-540c-a3ae-032105dd3f90","Too expensive",""
