"Number","User","Date Submitted","Country","Source URL","Device","Browser","OS","Hotjar User ID","What is stopping you from making a booking?","Tags for: What is stopping you from making a booking?"
"135","21db6ae8","2023-10-03 10:17:29","Spain","https://be.synxis.com/?_ga=2.66004718.1766285670.1696316947-1798097185.1696316946&adult=2,2,2&arrive=2023-12-01&chain=21615&child=0,0,0&childages=,,&currency=SGD&depart=2023-12-03&hotel=76624&level=hotel&locale=en-US&rooms=3","desktop","Edge 117.0.2045","Windows 10","21db6ae8-0bcc-5bf2-8a76-53306ffd34db","waiting for better deals",""
"134","17da354c","2023-10-03 00:07:21","Singapore","https://be.synxis.com/?_ga=2.155586619.1234274374.1696291462-1502628877.1696291462&adult=2&arrive=2023-10-10&chain=21615&child=0&currency=SGD&depart=2023-10-11&hotel=76624&level=hotel&locale=en-US&rooms=1","desktop","Firefox 117.0","Windows 10","17da354c-4cc4-5816-a5e2-43f0d2ebf309","I would like to make a daycation from 10am to 10pm, how should I do it?",""
"133","b28bb951","2023-09-29 14:52:17","Malaysia","https://be.synxis.com/?_ga=2.153931448.16889441.1695999057-2090909087.1695999057&adult=2&arrive=2023-10-10&chain=21615&child=0&currency=SGD&depart=2023-10-13&hotel=76624&level=hotel&locale=en-US&rooms=1","desktop","Chrome 117.0.0","Windows 10","b28bb951-233c-5711-a218-a69618d3835d","disocunt",""
"132","cae7b8d4","2023-09-29 09:40:05","Malaysia","https://be.synxis.com/?_ga=2.167073214.1090276842.1695967289-757531352.1695967289&_gl=1*6hfmse*_ga*NzU3NTMxMzUyLjE2OTU5NjcyODk.*_ga_17FEFTYEYR*MTY5NTk3ODUwNS4yLjAuMTY5NTk3ODUwNS4wLjAuMA..*_ga_KHJQN8MFLN*MTY5NTk3ODUwNS4yLjAuMTY5NTk3ODUwNS4wLjAuMA..&adult=2&arrive=2023-10-12&chain=21615&child=0&currency=SGD&depart=2023-10-15&hotel=76624&level=hotel&locale=en-US&rooms=1&utm_campaign=members-login&utm_medium=link&utm_source=top-nav-menu","desktop","Edge 117.0.2045","Windows 10","cae7b8d4-0d1e-5711-9474-d14e452321e1","want to book two rooms",""
"131","c68e50d6","2023-09-29 08:56:32","Singapore","https://be.synxis.com/?adult=2&arrive=2023-11-11&chain=21615&child=0&currency=SGD&depart=2023-11-12&filter=META&gclid=CJKa2ai4z4EDFQfZhAAd-PsA7A&gclsrc=ds&hotel=76624&level=chain&locale=en-US&rate=ADV30B,ADV30,BFRRO,BFRB&rooms=1&utm_campaign=MetaI/O&utm_content=SG&utm_medium=FBL&utm_source=GoogleHPA&wh_token=605a53f5-4b14-40ea-9ed4-21efc19fe92f-208663-294723","desktop","Chrome 117.0.0","Windows 10","c68e50d6-dd6d-5681-b108-a99b7fb9fa81","pet allowed",""
"130","36131efd","2023-09-27 02:46:04","Afghanistan","https://be.synxis.com/?adult=2&arrive=2023-09-30&chain=21615&child=0&currency=SGD&depart=2023-10-01&hotel=76624&level=chain&locale=en-US&rooms=1","desktop","Safari 16.5","Mac OS X 10.15.7","36131efd-e56b-5774-b7ef-9fd44a3c3d1d","Am I allowed to choose between king size bed or 2 twin beds?",""
"129","c860d56d","2023-09-24 07:54:08","India","https://be.synxis.com/?_ga=2.37159584.1866084054.1695541869-416822354.1695541869&adult=2&arrive=2023-10-18&chain=21615&child=2&childages=|&currency=SGD&depart=2023-10-23&hotel=76624&level=hotel&locale=en-US&rooms=1","desktop","Chrome 117.0.0","Windows 10","c860d56d-a9d2-5b63-953a-0184e98444d3","Hi",""
"128","d9f63b4c","2023-09-20 05:56:10","Singapore","https://be.synxis.com/?_ga=2.123018635.1078897785.1695185484-1082206461.1695185484&adult=2&arrive=2023-11-12&chain=21615&child=0&currency=SGD&depart=2023-11-13&hotel=76624&level=hotel&locale=en-US&rooms=1","desktop","Edge 117.0.2045","Windows 10","d9f63b4c-d6d6-577c-a6ad-a60b769eecff","PRICE",""
"127","b027fe0f","2023-09-18 09:10:23","Singapore","https://be.synxis.com/?adult=2&arrive=2023-12-23&chain=21615&child=0&config=meta&currency=SGD&depart=2023-12-25&filter=META&hotel=76624&level=hotel&locale=en-US&rooms=1&src=goog_organic&start=availresults&utm_campaign=google-hpa-76624&utm_content=localuniversal_23-12-2023_2_76624_SG_desktop_selected___organic&utm_medium=channel_connect&utm_source=google-hpa","desktop","Edge 114.0.1823","Windows 10","b027fe0f-aca8-52cb-97e4-fd6757275881","are all rooms pet friendly",""
"126","0a6c27b8","2023-09-17 08:49:34","Singapore","https://be.synxis.com/?_ga=2.108871691.802134147.1694939381-1522278114.1694939381&_gl=1*1cye12r*_ga*MTUyMjI3ODExNC4xNjk0OTM5Mzgx*_ga_17FEFTYEYR*MTY5NDkzOTM4MS4xLjEuMTY5NDk0MDE3NS4wLjAuMA..*_ga_KHJQN8MFLN*MTY5NDkzOTM4MS4xLjEuMTY5NDk0MDE3NS4wLjAuMA..&adult=1&arrive=2023-09-17&chain=21615&child=0&currency=SGD&depart=2023-09-18&hotel=76624&level=chain&locale=en-US&rooms=1","desktop","Edge 116.0.1938","Windows 10","0a6c27b8-0412-5a22-a62e-983d06cd9f6d","can't book from 29th Dec to 1st January 2024",""
