"Number","User","Date Submitted","Country","Source URL","Device","Browser","OS","Hotjar User ID","What is stopping you from making a booking?","Tags for: What is stopping you from making a booking?"
"76","d760aa2d","2023-10-01 10:10:00","United Kingdom","https://be.synxis.com/?adult=2&arrive=2023-10-13&chain=21615&child=0&config=meta&currency=GBP&depart=2023-10-17&filter=META&hotel=76621&level=hotel&locale=en-US&rooms=1&src=goog_organic&start=availresults&utm_campaign=google-hpa-76621&utm_content=localuniversal_13-10-2023_4_76621_GB_desktop_selected___organic&utm_medium=channel_connect&utm_source=google-hpa","desktop","Chrome 117.0.0","Windows 10","d760aa2d-30f3-574a-ae4a-f3898ed925e3","website isnt a,lowing",""
"75","f8c390fb","2023-09-28 21:51:28","Egypt","https://be.synxis.com/?_ga=2.190860586.1623777658.1695939332-1375331260.1695939328&_gl=1*1ls6w5p*_ga*MTM3NTMzMTI2MC4xNjk1OTM5MzI4*_ga_TZ709VR8VJ*MTY5NTkzOTMzMy4xLjEuMTY5NTkzOTQ4MS4wLjAuMA..*_ga_KHJQN8MFLN*MTY5NTkzOTMyOC4xLjEuMTY5NTkzOTQ4MS4wLjAuMA..&adult=1&arrive=2023-10-18&chain=21615&child=0&currency=THB&depart=2023-10-21&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Chrome 117.0.0","Windows 10","f8c390fb-e539-5d28-bcdf-ee95dced176e","the price is much for me",""
"74","da3cc747","2023-09-26 12:25:49","United Kingdom","https://be.synxis.com/?adult=1&arrive=2023-09-26&chain=21615&child=0&currency=THB&depart=2023-09-27&hotel=76621&level=hotel&locale=en-US&rooms=1","desktop","Chrome 117.0.0","Windows 10","da3cc747-7748-59bd-b16b-d19f33b82b9d","Better Deal elsewhere",""
"73","7d255b6f","2023-09-26 06:36:52","Thailand","https://be.synxis.com/?adult=2&arrive=2023-10-21&chain=21615&child=0&currency=THB&depart=2023-10-22&filter=META&gclid=CM7LsrPSx4EDFXDehAAd3VsySw&gclsrc=ds&hotel=76621&level=chain&locale=en-US&rate=AP30,RMSBAS,AP30B,BBAR&rooms=1&utm_campaign=MetaI/O&utm_content=TH&utm_medium=FBL&utm_source=GoogleHPA&wh_token=2da94960-60e9-4158-bac9-13bc5eeb2b1a-208662-658991","desktop","Chrome 116.0.0","Windows 10","7d255b6f-9bf3-5fc2-ab28-cbb47d75c3b5","meeting room",""
"72","ce7d8abe","2023-09-24 15:58:18","Germany","https://be.synxis.com/?_ga=2.77604244.1066733685.1695568854-435616375.1695568854&_gl=1*1nmxa0a*_ga*NDM1NjE2Mzc1LjE2OTU1Njg4NTQ.*_ga_TZ709VR8VJ*MTY5NTU2ODg1Ni4xLjAuMTY5NTU2ODg1Ni4wLjAuMA..*_ga_KHJQN8MFLN*MTY5NTU2ODg1Ni4xLjAuMTY5NTU2ODg1Ni4wLjAuMA..&adult=2&arrive=2023-11-04&chain=21615&child=0&currency=THB&depart=2023-11-06&hotel=76621&level=hotel&locale=en-US&rooms=1&utm_campaign=members-login&utm_medium=link&utm_source=top-nav-menu","desktop","Chrome 109.0.0","Windows 10","ce7d8abe-91c3-557a-9438-c8a05e068c4b","I received an email for discounts of up to 15% when booking the hotel. However, I think the prices on check24 are the same.",""
"71","3b2459fb","2023-09-24 10:55:50","Germany","https://be.synxis.com/?_ga=2.265291590.852808051.1695552452-647534093.1695552452&adult=2&arrive=2024-01-02&chain=21615&child=0&currency=THB&depart=2024-01-04&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Chrome 116.0.0","Windows 10","3b2459fb-2eaf-54e7-b756-f2ba13243632","hi i would like to ask about any discount if we arrive with 10 people and book 5 rooms",""
"70","8bccde7d","2023-09-24 10:06:52","Spain","https://be.synxis.com/?_ga=2.62654060.1507888235.1695549762-885438790.1695549762&adult=3&arrive=2023-09-24&chain=21615&child=0&currency=THB&depart=2023-09-28&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Chrome 116.0.0","Windows 10","8bccde7d-3553-56e7-8429-ce08b37c8bde","Buenos días",""
"69","ecdfbb27","2023-09-22 11:44:23","Italy","https://be.synxis.com/?_ga=2.267201230.1366277873.1695382753-2000592679.1695382753&_gl=1*ac4h0n*_ga*MjAwMDU5MjY3OS4xNjk1MzgyNzUz*_ga_TZ709VR8VJ*MTY5NTM4Mjc1Mi4xLjEuMTY5NTM4Mjg0Ni4wLjAuMA..*_ga_KHJQN8MFLN*MTY5NTM4Mjc1Mi4xLjEuMTY5NTM4Mjg0Ni4wLjAuMA..&adult=2&arrive=2023-09-22&chain=21615&child=0&currency=EUR&depart=2023-09-23&hotel=76621&level=hotel&locale=en-US&rooms=1","desktop","Chrome 116.0.0","Windows 10","ecdfbb27-d63a-5afd-ab80-692b50e369ac","si blocca il sito",""
"68","91ac9460","2023-09-21 10:00:20","Australia","https://be.synxis.com/?_ga=2.254453064.1363390786.1695289843-864917135.1695289843&adult=2&arrive=2024-02-03&chain=21615&child=0&currency=THB&depart=2024-02-08&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Chrome 116.0.0","Mac OS X 10.15.7","91ac9460-2e0d-5af3-8149-e17c54dee999","I have a question,OK?",""
"67","9014b3f3","2023-09-19 18:21:33","Switzerland","https://be.synxis.com/?_ga=2.145467700.1607531904.1695147523-606413499.1695147523&adult=2&arrive=2023-11-20&chain=21615&child=0&currency=THB&depart=2023-11-23&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Safari 16.6","Mac OS X 10.15.7","9014b3f3-8de8-57a5-b97f-8952d712cb1f","ist breakfast included?",""
"66","bf9f16ab","2023-09-18 19:38:18","Germany","https://be.synxis.com/?_ga=2.199227503.1754858263.1695065755-1062322715.1695065754&adult=1&arrive=2023-10-11&chain=21615&child=0&currency=THB&depart=2023-10-15&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Firefox 117.0","Mac OS X 10.15","bf9f16ab-42ba-58aa-acec-f166e23af47e","expensive",""
"65","2ab5b3f6","2023-09-14 22:55:57","French Polynesia","https://be.synxis.com/?_ga=2.64468079.1998614904.1694731833-243652849.1694731833&adult=2&arrive=2024-02-18&chain=21615&child=0&currency=THB&depart=2024-02-19&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Edge 116.0.1938","Windows 10","2ab5b3f6-2e43-567f-b08d-f8afe84dfa39","BREAKFUST IS NOT INCLUDED",""
"64","1fdcde9c","2023-09-13 08:28:57","Australia","https://be.synxis.com/?_ga=2.92739485.1818918737.1694592716-1905493248.1694592716&adult=1&arrive=2023-10-02&chain=21615&child=0&currency=THB&depart=2023-10-03&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Chrome 116.0.0","Windows 10","1fdcde9c-6bc6-511a-bce5-3b304da71e66","how do I see prices in NZS?",""
"63","270fa0d6","2023-09-12 20:34:47","Netherlands","https://be.synxis.com/?_ga=2.258012866.975870669.1694550351-153161564.1694550351&adult=3&arrive=2023-09-29&chain=21615&child=0&currency=THB&depart=2023-10-03&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Opera 101.0.0","Windows 10","270fa0d6-09ca-5b39-8959-c00b19ba994d","Looking for a room big enougt to stay with 3 people, I'll travel from Koh Samui on 29 of september to Bangkok and wil check out on 3 oktober early in the morning can you give me a good rate",""
"62","5981401b","2023-09-09 16:39:19","United States","https://be.synxis.com/?_ga=2.67881489.1601604199.1694275214-170898990.1694275214&adult=2&arrive=2023-11-11&chain=21615&child=0&currency=THB&depart=2023-11-14&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Chrome 103.0.0","Mac OS X 10.12.6","5981401b-ab7a-5866-bccf-2de3849d2149","I found a cheaper third party rate. Do you price match?",""
"61","1e8c2ee6","2023-09-07 15:52:24","Poland","https://be.synxis.com/?adult=1&arrive=2023-09-09&chain=21615&child=0&currency=THB&depart=2023-09-10&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Chrome 116.0.0","Windows 10","1e8c2ee6-0502-57de-92c4-e27fc270798a","Hi, I have a questuion - when I make a reservation, payment is now or later?",""
"60","eb73b417","2023-09-04 09:15:30","Malaysia","https://be.synxis.com/?_ga=2.202696210.2002749805.1693817360-445295734.1693817359&adult=1&arrive=2023-09-24&chain=21615&child=0&currency=THB&depart=2023-09-27&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Chrome 116.0.0","Windows 10","eb73b417-c61a-5309-b979-72447b915683","Hi, may i know if i book club10 room can i access to Jacuzzi ?",""
"59","00000000","2023-08-30 14:33:08","Spain","https://be.synxis.com/?_ga=2.204718928.130128685.1693405820-1406149134.1693405819&adult=2&arrive=2024-01-10&chain=21615&child=0&currency=THB&depart=2024-01-13&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Chrome 114.0.0","Windows 10","00000000-0000-0000-0000-000000000000","Price",""
"58","c9b3dc72","2023-08-28 18:52:41","Spain","https://be.synxis.com/sign-up?_ga=2.220556568.1208538105.1693247501-1701287217.1693247501&_gl=1*d97hth*_ga*MTcwMTI4NzIxNy4xNjkzMjQ3NTAx*_ga_TZ709VR8VJ*MTY5MzI0NzUwMS4xLjEuMTY5MzI0NzUzNS4wLjAuMA..*_ga_KHJQN8MFLN*MTY5MzI0NzUwMC4xLjEuMTY5MzI0NzUzNS4wLjAuMA..&adult=2&arrive=2023-10-04&chain=21615&child=0&currency=EUR&depart=2023-10-09&hotel=76621&level=chain&locale=en-US&rooms=1&sbe_rc=NTViN2FlM2QtMDhhZS00N2Q5LTgxN2ItNjE1MzE0NDdkYzlm","desktop","Chrome 116.0.0","Windows 10","c9b3dc72-ecac-52d6-b135-cab7372b08ad","I need to put my Member's Rate Only number",""
"57","c981b0f7","2023-08-27 19:10:43","Germany","https://be.synxis.com/?_ga=2.252430281.1745336354.1693163155-139517040.1693163155&adult=2&arrive=2024-03-17&chain=21615&child=0&currency=THB&depart=2024-03-21&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Firefox 116.0","Windows 10","c981b0f7-923f-514c-b9ee-a2244f39b5aa","how much are Taxes & Fees?",""
"56","35ec6474","2023-08-26 20:04:25","Belgium","https://be.synxis.com/?adult=1&arrive=2023-08-27&chain=21615&child=0&currency=THB&depart=2023-08-28&hotel=76621&level=hotel&locale=en-US&rooms=1","desktop","Safari 16.5.2","Mac OS X 10.15.7","35ec6474-a6cb-5484-830c-6bb9edae90ae","Not clear if I book 1 or 2 rooms with the summary. I have to contact the hotel.",""
"55","734e7ab7","2023-08-26 00:42:15","United States","https://be.synxis.com/?_ga=2.229323868.1997297513.1693000463-1303219294.1693000463&adult=2&arrive=2023-12-30&chain=21615&child=0&currency=USD&depart=2024-01-03&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Chrome 115.0.0","Chrome OS 14541.0.0","734e7ab7-07ba-52fe-b32e-763535ffebe5","agoda web site is $92 for a delux",""
"54","66b489a0","2023-08-25 09:34:44","Germany","https://be.synxis.com/?_ga=2.220824090.366114200.1692955841-835341096.1692955840&adult=2&arrive=2023-12-31&chain=21615&child=0&currency=THB&depart=2024-01-01&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Chrome 116.0.0","Windows 10","66b489a0-c06a-5915-8e30-44b4c2e00da3","kann ich dann auch sicher am 31.12 bei ihnen in die Rooftop Bar?",""
"53","92cba2ae","2023-08-23 20:25:07","Spain","https://be.synxis.com/?_ga=2.195201892.936184198.1692822277-550009531.1692822277&adult=2&arrive=2023-11-17&chain=21615&child=0&currency=THB&depart=2023-11-18&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Chrome 114.0.0","Windows 10","92cba2ae-35ec-5557-aa67-5c858393934e","too expensive",""
"52","cf35c74a","2023-08-23 12:09:03","India","https://be.synxis.com/?_ga=2.107448578.1264970626.1692792409-1297984097.1692792409&adult=2&arrive=2023-11-17&chain=21615&child=0&currency=THB&depart=2023-11-20&hotel=76621&level=chain&locale=en-US&promo=MEMBER&rooms=1","desktop","Chrome 116.0.0","Windows 10","cf35c74a-b048-5dac-9f74-4491d8ba42f4","?",""
"51","ad49f64e","2023-08-22 10:45:49","United Kingdom","https://be.synxis.com/?_ga=2.151891961.1366386707.1692700980-1994555933.1692700980&adult=2&arrive=2023-10-20&chain=21615&child=0&currency=THB&depart=2023-10-23&hotel=76621&level=chain&locale=en-US&rooms=1","desktop","Chrome 114.0.0","Windows 10","ad49f64e-902f-56cd-830e-19d10c15008e","do you offer corporate rates please",""
"50","9feab8cc","2023-08-21 15:01:59","Italy","https://be.synxis.com/addons?_ga=2.63043816.615720640.1692629871-365065013.1692629870&adult=2,2,2&arrive=2023-12-24&chain=21615&child=0,0,0&childages=,,&currency=EUR&depart=2023-12-29&hotel=76621&level=chain&locale=en-US&rooms=3&sbe_rc=NDgyODIwMjctMGE4Yi00MDhmLWI2OGYtZjZiZjAyNDRlM2Yx","desktop","Chrome 115.0.0","Windows 10","9feab8cc-3472-5af6-a7c7-096aa874a05d","HY , SORRY FOR MY QUESTION, BREAKFAST IS INCLUDED?",""
