,User,Country,What is stopping you from making a booking?,Hotel,Date,Day,Hour
0,1dae77e8,United States,"HI , what is the difference between weekend staycation with free breakfast and weekend staycation with free breakfast members only",ASIN,2023-09-27,Wednesday,11:00:00 PM
1,8673981c,Malaysia,No pets rate,ASIN,2023-09-25,Monday,10:00:00 AM
2,0785f0c5,Singapore,price,ASIN,2023-09-25,Monday,08:00:00 AM
3,58c8c5d2,Ukraine,there is a special rate and special booking conditions for event participants 48th ASEAN Air Transport Working Group ans Related Meetings?,ASIN,2023-09-21,Thursday,07:00:00 AM
4,d43f0345,Singapore,do you offer corporate rate?,ASIN,2023-09-18,Monday,01:00:00 AM
5,0d906ee6,United Kingdom,Too expensive,ASIN,2023-09-14,Thursday,11:00:00 AM
6,707d83ef,Singapore,I'm checking if I can bring my pet dog,ASIN,2023-09-14,Thursday,06:00:00 AM
7,7d771f9f,India,the price is on higher side,ASIN,2023-09-11,Monday,02:00:00 PM
8,3417b14f,Philippines,would this include 3 breakfast?,ASIN,2023-09-08,Friday,10:00:00 PM
9,3cdb8d63,South Korea,I want to cancel my reservation. Can you support me?,ASIN,2023-09-07,Thursday,04:00:00 AM
10,00000000,India,i am not getting 15% discount for the long stay of 5 days,ASIN,2023-09-06,Wednesday,03:00:00 AM
11,00000000,American Samoa,Price doesn't include taxes.,ASIN,2023-09-04,Monday,08:00:00 AM
12,5f51fa44,Australia,Looking for a room to accommodate three adults,ASIN,2023-09-02,Saturday,04:00:00 AM
13,86ab973c,Australia,Rates in Australian currency,ASIN,2023-08-27,Sunday,08:00:00 AM
14,84611576,Philippines,higher rate,ASIN,2023-08-26,Saturday,03:00:00 PM
15,b818b5c1,Singapore,We are looking to organise a meeting.  Do you have conference room booking ?,ASIN,2023-08-18,Friday,04:00:00 AM
16,7e5472cd,Australia,unable to choose 2 rooms,ASIN,2023-08-15,Tuesday,08:00:00 AM
17,40133286,Vietnam,"Hi There, 

I just sent an email from ngan.do@alchemy-asia.com to book a renovated room at Amara. Could you check please?

Thank you,",ASIN,2023-08-14,Monday,06:00:00 AM
18,11b67810,Australia,Having to sign up to be a member,ASIN,2023-08-12,Saturday,09:00:00 AM
19,a6b933c6,Australia,pool information,ASIN,2023-08-10,Thursday,08:00:00 AM
20,1830c821,United States,the fact that it is non refundable,ASIN,2023-08-09,Wednesday,09:00:00 PM
21,91bbbd42,India,"No  credit card booking ,only SGD payment",ASIN,2023-08-07,Monday,05:00:00 PM
22,317a1548,New Zealand,price of roller away bed for child,ASIN,2023-08-04,Friday,10:00:00 PM
23,5dcf24d0,Singapore,please provide day use price,ASIN,2023-08-02,Wednesday,04:00:00 AM
24,5e8cbd4e,Hong Kong,promo,ASIN,2023-07-31,Monday,10:00:00 AM
25,383b581a,Singapore,hi i want to book premium executive room but will i be able to have cancel if there's any last minute changes?,ASIN,2023-07-30,Sunday,12:00:00 PM
26,c9547b22,Singapore,Can i book on behalf of a guest as a member?,ASIN,2023-07-29,Saturday,04:00:00 PM
27,d717aa47,Canada,"Hello, I have a question",ASIN,2023-07-28,Friday,02:00:00 AM
28,8e0631ad,United Kingdom,just thinking about the cost,ASIN,2023-07-25,Tuesday,05:00:00 PM
29,0495f979,India,I am travelling with 2 kids and wife. Age of kids 10 and 7. Can I opt for Deluxe king?,ASIN,2023-07-25,Tuesday,05:00:00 AM
