Word,Count
room,13
price,12
book,9
breakfast,6
rate,6
reservation,4
club,4
offer,4
webster,3
discount,3
people,3
morning,3
look,3
bangkok,3
question,3
member,3
tax,3
hello,3
hi,2
hotel,2
check,2
site,2
stay,2
september,2
see,2
god,2
please,2
adult,2
year,2
pay,2
use,2
executive,2
code,2
customer,2
pool,2
benefit,2
letter,1
meet,1
email,1
ask,1
clash,1
questionof,1
breakfust,1
nzs,1
party,1
match,1
payment,1
access,1
jacuzzi,1
need,1
number,1
contact,1
deux,1
bar,1
december,1
deluge,1
hide,1
fee,1
make,1
airport,1
scuttle,1
ride,1
night,1
day,1
reserve,1
product,1
bath,1
wonder,1
possibility,1
talk,1
example,1
till,1
flight,1
depart,1
want,1
twin,1
bed,1
time,1
conrad,1
struggle,1
march,1
come,1
hey,1
pet,1
connection,1
hut,1
concern,1
tag,1
floor,1
key,1
promo,1
june,1
name,1
swim,1
hour,1
dollar,1
advance,1
purchase,1
west,1
thank,1
difference,1
sad,1
honey,1
moon,1
apply,1
