Word,Count
room,24
price,23
book,14
dog,7
child,7
bed,6
member,6
code,5
pet,5
adult,5
breakfast,4
twin,4
family,4
year,4
look,4
need,4
promo,4
check,4
villa,4
offer,4
hello,4
rate,4
discount,3
wait,3
cancellation,3
option,3
date,3
charge,3
pay,3
pool,3
bedroom,3
email,3
number,2
birthday,2
couple,2
access,2
park,2
use,2
lack,2
sign,2
type,2
stay,2
cost,1
connect,1
review,1
deal,1
vacation,1
pm,1
disintegrate,1
choose,1
size,1
dec,1
st,1
january,1
bring,1
hotel,1
customer,1
service,1
person,1
work,1
desk,1
call,1
enquiry,1
speak,1
resort,1
support,1
team,1
inconsistent,1
style,1
rest,1
password,1
bite,1
bathtub,1
share,1
parent,1
thank,1
kitchen,1
try,1
package,1
starvation,1
sea,1
reservation,1
friend,1
gift,1
contact,1
detail,1
credit,1
card,1
checkin,1
site,1
nothing,1
inaccessibility,1
stair,1
area,1
someone,1
knee,1
etc,1
ladder,1
compare,1
day,1
dismount,1
program,1
city,1
people,1
moe,1
reply,1
hi,1
ship,1
kg,1
response,1
maintain,1
escapade,1
tax,1
increase,1
rabbit,1
cancel,1
policy,1
wallet,1
capacity,1
night,1
half,1
bathroom,1
diploe,1
box,1
ashore,1
swim,1
thou,1
source,1
accommodate,1
money,1
veranda,1
king,1
x,1
confirmation,1
time,1
serve,1
buffet,1
twomonth,1
sentosa,1
fridge,1
help,1
party,1
prefer,1
trip,1
schedule,1
picture,1
heat,1
age,1
deluge,1
figure,1
see,1
