Word,Count
room,62
price,51
book,37
breakfast,19
rate,17
member,16
look,14
check,12
adult,11
offer,9
discount,9
child,9
dog,8
reservation,8
code,8
hello,8
year,8
pet,7
hi,7
bedroom,7
need,7
bed,7
email,6
pool,6
promo,6
hotel,6
pay,6
date,6
stay,5
tax,5
executive,5
cost,5
deluge,5
night,5
use,5
number,5
people,5
twin,5
cancel,4
day,4
question,4
july,4
charge,4
family,4
villa,4
club,4
difference,3
starvation,3
meet,3
mary,3
please,3
thank,3
sign,3
credit,3
card,3
payment,3
premium,3
person,3
webster,3
flight,3
bathroom,3
interest,3
apartment,3
call,3
god,3
confirmation,3
connect,3
type,3
time,3
customer,3
cancellation,3
option,3
access,3
site,3
see,3
morning,3
bangkok,3
weekend,2
work,2
bring,2
support,2
choose,2
information,2
change,2
age,2
king,2
increase,2
photo,2
floor,2
style,2
june,2
prefer,2
detail,2
wonder,2
advance,2
purchase,2
buffet,2
account,2
review,2
help,2
birthday,2
couple,2
contact,2
park,2
wait,2
lack,2
swim,2
party,2
september,2
benefit,2
condition,1
event,1
air,1
transport,1
group,1
side,1
currency,1
conference,1
send,1
nandoarcheryasiacom,1
renovate,1
fact,1
roller,1
minute,1
behalf,1
think,1
travel,1
wife,1
apartartment,1
citizen,1
appear,1
yesterday,1
lag,1
surname,1
bus,1
transfer,1
equity,1
mobility,1
impair,1
disappoint,1
upgrade,1
checkout,1
return,1
toilet,1
wall,1
hang,1
telephone,1
penny,1
request,1
th,1
website,1
adjoin,1
sept,1
se,1
non,1
membership,1
taiwan,1
plan,1
display,1
emailthanksbenshanemailcom,1
anyone,1
europe,1
refresh,1
cardpayment,1
front,1
suite,1
twobedroom,1
fro,1
guarantee,1
language,1
view,1
deal,1
consider,1
weird,1
bookingcom,1
size,1
dec,1
st,1
january,1
service,1
desk,1
enquiry,1
speak,1
resort,1
team,1
inconsistent,1
rest,1
password,1
bite,1
bathtub,1
share,1
parent,1
kitchen,1
try,1
package,1
sea,1
friend,1
gift,1
checkin,1
nothing,1
inaccessibility,1
stair,1
area,1
someone,1
knee,1
etc,1
ladder,1
compare,1
dismount,1
program,1
city,1
moe,1
reply,1
ship,1
kg,1
response,1
maintain,1
escapade,1
rabbit,1
policy,1
wallet,1
capacity,1
half,1
diploe,1
box,1
ashore,1
thou,1
source,1
accommodate,1
money,1
veranda,1
x,1
serve,1
twomonth,1
sentosa,1
fridge,1
trip,1
schedule,1
picture,1
heat,1
figure,1
letter,1
ask,1
clash,1
questionof,1
breakfust,1
nzs,1
match,1
jacuzzi,1
deux,1
bar,1
december,1
hide,1
fee,1
make,1
airport,1
scuttle,1
ride,1
reserve,1
product,1
bath,1
possibility,1
talk,1
example,1
till,1
depart,1
want,1
conrad,1
struggle,1
march,1
come,1
hey,1
connection,1
hut,1
concern,1
tag,1
key,1
name,1
hour,1
dollar,1
west,1
sad,1
honey,1
moon,1
apply,1
